Name,Height,Weight,Position,OVR,Preferred foot,Weak foot,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,Free Kick Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Def Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Marcus Rashford,186,70,"['Delantero', 'Mediocampista']",83,Right,3,74,81,71,78,73,85,80,75,72,82,88,91,80,80,69,93,82,70,65,78,54,27,83,77,85,76,30,29,24,11,6,15,7.0,14.0
Donyell Malen,176,68,"['Delantero', 'Mediocampista']",83,Right,4,74,84,67,79,81,86,76,61,63,85,93,87,87,82,86,86,84,77,73,72,65,31,84,75,74,79,29,33,35,7,9,9,10.0,14.0
Mikel Oyarzabal Ugarte,181,79,"['Delantero', 'Mediocampista']",83,Left,3,80,85,60,84,74,84,78,78,73,86,78,76,77,79,77,80,70,79,57,81,52,29,85,82,84,83,55,32,30,10,6,10,13.0,11.0
Lorenzo Pellegrini,186,77,"['Delantero', 'Mediocampista']",83,Right,4,74,75,74,88,74,80,74,79,83,87,79,79,80,85,82,79,83,90,74,76,74,72,80,87,80,84,73,77,73,12,7,10,13.0,11.0
Federico Dimarco,174,76,"['Mediocampista', 'Defensor']",83,Left,4,85,71,49,82,77,80,82,79,78,84,81,81,80,83,84,78,70,84,69,81,74,80,83,77,66,72,77,78,76,9,8,12,7.0,7.0
Konrad Laimer,180,72,"['Defensor', 'Mediocampista']",83,Right,3,78,69,69,81,60,77,70,47,77,78,82,78,76,83,77,74,79,90,69,68,89,86,73,78,54,79,84,81,77,9,12,12,13.0,12.0
Marcos Javier Acuña,172,69,"['Mediocampista', 'Defensor']",83,Left,3,85,66,61,82,67,81,88,75,77,82,75,74,82,84,90,83,79,90,82,81,83,81,80,82,76,86,81,84,83,8,14,13,13.0,14.0
Rafael Alexandre Fernandes Ferreira da Silva,172,66,"['Delantero', 'Mediocampista']",83,Right,3,78,79,49,77,68,86,81,56,76,85,94,93,90,84,89,77,62,84,40,77,47,58,83,83,59,81,52,47,39,9,11,11,12.0,8.0
Andreas Bødtker Christensen,187,82,"['Mediocampista', 'Defensor']",83,Right,3,51,36,80,83,25,67,41,39,79,79,57,76,61,84,61,37,80,73,78,20,75,86,32,62,36,79,86,86,84,10,12,8,6.0,8.0
Filip Kostić,184,84,"['Defensor', 'Mediocampista']",83,Left,2,90,72,59,81,75,84,85,80,79,82,85,85,76,80,79,86,80,90,77,78,76,69,78,80,66,82,69,74,72,13,14,12,12.0,13.0
Gerard Moreno Balagueró,180,77,"['Delantero', 'Mediocampista']",83,Left,4,77,88,82,79,81,83,77,62,75,82,77,77,77,82,72,82,87,77,73,81,61,42,84,78,85,80,44,41,41,15,12,7,12.0,10.0
Serge David Gnabry,176,77,"['Delantero', 'Mediocampista']",83,Right,4,77,85,42,83,83,85,74,62,73,82,84,79,86,82,88,87,68,72,69,82,58,38,84,80,70,82,45,44,43,14,10,10,9.0,7.0
Marco Reus,180,71,"['Delantero', 'Mediocampista']",83,Right,4,83,84,44,85,84,85,87,85,78,86,72,60,81,84,81,84,63,65,66,81,51,56,84,84,81,86,59,47,59,12,12,13,13.0,11.0
Eduardo Celmi Camavinga,182,68,"['Defensor', 'Mediocampista']",82,Left,3,77,62,64,85,59,80,72,59,84,86,78,79,81,79,80,73,82,82,83,69,79,78,73,78,62,82,76,82,81,12,6,8,12.0,12.0
Dejan Kulusevski,186,80,"['Delantero', 'Mediocampista']",82,Left,3,84,76,52,84,80,86,85,61,72,85,77,74,79,82,69,76,76,90,80,81,67,54,80,84,65,84,55,64,55,14,5,10,10.0,5.0
Xavi Quentin Shay Simons,179,61,"['Delantero', 'Mediocampista']",82,Right,3,74,78,60,82,62,85,82,65,76,85,89,85,89,81,84,78,71,84,67,80,79,65,75,81,61,78,60,62,56,9,11,5,8.0,10.0
Oihan Sancet Tirapu,188,77,"['Delantero', 'Mediocampista']",82,Right,4,75,77,80,84,73,84,81,53,81,83,72,74,85,84,77,82,86,86,80,75,80,74,81,86,70,85,64,74,60,15,11,6,15.0,7.0
Pedro António Pereira Gonçalves,173,77,"['Delantero', 'Mediocampista']",82,Right,4,79,84,40,83,79,83,79,72,78,84,77,76,83,84,87,78,61,84,58,79,64,69,84,86,83,86,57,61,48,15,11,15,7.0,8.0
Kai Lukas Havertz,193,82,"['Delantero', 'Mediocampista']",82,Left,4,74,81,80,83,80,84,84,53,79,85,75,81,75,83,68,76,82,77,69,78,52,38,83,81,73,84,39,46,38,6,8,11,10.0,12.0
Isaac Palazón Camacho,169,71,"['Delantero', 'Mediocampista']",82,Left,3,80,82,35,81,65,83,75,76,77,82,87,82,86,77,81,75,65,72,64,81,55,41,78,80,78,76,39,41,37,11,8,10,13.0,15.0
Joelinton Cassio Apolinário de Lira,186,81,"['Delantero', 'Mediocampista']",82,Right,3,71,74,82,83,60,84,58,38,78,85,72,82,68,85,73,84,91,88,89,61,89,83,80,83,61,83,79,83,76,9,13,8,13.0,13.0
Nabil Fekir,173,75,"['Delantero', 'Mediocampista']",82,Left,4,81,79,50,81,77,85,83,79,77,83,86,78,84,78,90,84,78,75,80,79,82,36,80,83,74,86,36,43,30,15,9,8,14.0,15.0
Iñaki Williams Arthuer,186,80,"['Delantero', 'Mediocampista']",82,Right,3,78,82,80,74,79,83,80,58,62,80,93,94,77,83,62,85,95,88,84,76,76,30,85,73,68,78,42,48,38,14,15,14,10.0,13.0
Ángel Martín Correa,171,70,"['Delantero', 'Mediocampista']",82,Right,4,75,85,71,80,80,86,82,66,68,85,86,85,90,82,89,83,82,84,68,86,79,48,85,82,67,79,42,53,44,13,10,9,8.0,16.0
Anderson Souza Conceição,189,75,"['Delantero', 'Mediocampista']",82,Left,4,73,85,79,75,76,83,85,85,78,86,83,76,86,79,58,87,81,74,75,85,73,52,84,77,75,77,45,55,42,13,11,13,12.0,10.0
Robert Andrich,186,85,"['Defensor', 'Mediocampista']",82,Right,4,71,74,74,78,70,74,78,76,78,76,59,56,63,82,59,84,80,87,83,80,89,83,72,72,62,75,83,84,78,7,9,10,13.0,15.0
Raphaël Adelino José Guerreiro,170,69,"['Mediocampista', 'Defensor']",82,Left,2,84,78,42,89,79,87,85,82,79,89,79,54,90,88,90,79,51,77,49,83,44,85,79,85,54,87,79,78,77,12,6,8,11.0,8.0
Emre Can,186,86,"['Defensor', 'Mediocampista']",82,Right,4,64,74,81,81,73,76,77,64,80,78,67,88,69,81,74,85,88,82,86,80,91,80,72,74,81,83,79,85,84,14,8,8,13.0,11.0
Thomas Müller,185,76,"['Delantero', 'Mediocampista']",82,Right,4,85,84,79,85,84,76,81,59,79,83,59,55,67,91,70,78,75,77,66,79,62,58,92,86,70,84,47,57,46,6,7,11,14.0,14.0
Alejandro Balde Martínez,175,69,"['Mediocampista', 'Defensor']",81,Left,4,79,51,66,80,32,77,56,28,70,80,90,91,81,78,74,53,79,75,63,39,47,75,63,72,41,64,72,80,79,5,8,7,10.0,13.0
Julián Álvarez,170,71,"['Delantero', 'Mediocampista']",81,Right,4,77,83,69,78,76,83,84,80,74,85,85,80,87,86,87,86,80,85,70,83,84,52,84,81,73,84,60,55,46,6,10,8,15.0,6.0
Nicolás Iván González,180,72,"['Delantero', 'Mediocampista']",81,Left,2,78,80,80,80,68,85,65,54,66,85,85,88,81,76,78,75,81,76,55,65,67,39,81,69,85,76,38,46,39,10,6,9,5.0,8.0
久保 建英 Takefusa Kubo,173,64,"['Delantero', 'Mediocampista']",81,Left,4,77,81,49,78,67,84,75,74,74,84,89,79,86,79,83,73,69,74,58,74,43,28,79,76,63,72,40,43,46,6,7,15,10.0,10.0
Edson Omar Álvarez Velázquez,187,73,"['Defensor', 'Mediocampista']",81,Right,3,64,57,82,78,63,72,42,40,76,76,67,68,60,77,68,74,81,90,86,40,86,83,56,69,65,75,83,83,79,7,11,10,7.0,6.0
Denzel Justus Morris Dumfries,188,80,"['Mediocampista', 'Defensor']",81,Right,3,77,67,84,76,38,72,69,35,71,76,77,87,69,81,60,68,94,92,89,54,83,78,76,59,48,74,76,79,77,10,10,7,13.0,14.0
鎌田 大地 Daichi Kamada,184,72,"['Delantero', 'Mediocampista']",81,Right,4,75,75,53,84,66,83,78,74,80,83,81,78,83,80,82,65,68,84,57,73,54,52,81,82,80,81,53,57,54,6,10,11,6.0,11.0
Ademola Lookman,174,71,"['Delantero', 'Mediocampista']",81,Right,4,66,86,66,79,80,87,69,51,60,85,88,84,90,85,85,79,80,69,67,75,62,32,85,77,62,78,27,23,24,12,12,9,15.0,6.0
Nailton Suzuki Ito,180,75,"['Delantero', 'Mediocampista']",81,Right,4,67,72,64,85,63,84,70,67,83,85,85,79,75,80,67,75,81,75,74,79,54,53,82,75,55,78,50,52,42,8,9,12,8.0,8.0
Welington Kauê Dano Nascimento,178,69,"['Mediocampista', 'Delantero', 'Defensor']",81,Left,4,82,51,69,78,47,77,83,52,71,78,78,80,83,80,81,55,77,89,68,53,69,77,72,75,61,82,70,77,81,16,15,15,7.0,7.0
Leon Bailey Butler,178,77,"['Delantero', 'Mediocampista']",81,Left,2,73,78,57,75,73,86,79,79,65,84,93,87,87,78,84,79,76,66,61,77,55,21,79,77,71,75,45,25,18,12,13,6,15.0,14.0
Christian Pulisic,177,69,"['Delantero', 'Mediocampista']",81,Right,4,75,78,50,78,74,87,74,58,64,85,88,82,87,80,86,78,68,64,54,70,50,33,80,78,61,82,38,32,47,8,12,13,16.0,14.0
Jarrod Bowen,175,70,"['Delantero', 'Mediocampista']",81,Left,3,79,83,67,78,73,81,71,70,68,82,79,76,78,83,81,76,76,83,66,78,62,37,81,76,72,80,49,41,37,14,8,14,10.0,7.0
Allan Saint-Maximin,173,67,"['Delantero', 'Mediocampista']",81,Right,4,74,72,53,77,66,90,76,58,64,83,89,89,93,78,89,82,77,77,72,70,43,23,77,77,58,83,30,25,23,10,9,12,7.0,7.0
Andrej Kramarić,177,73,"['Delantero', 'Mediocampista']",81,Right,4,73,80,69,81,79,82,82,77,65,83,74,70,82,83,84,82,76,85,69,78,71,29,83,79,92,81,35,20,26,8,14,14,7.0,15.0
Vincenzo Grifo,180,76,"['Delantero', 'Mediocampista']",81,Right,2,88,71,47,80,73,82,89,88,76,83,75,67,79,80,78,85,66,71,65,75,52,45,80,78,92,74,48,31,30,10,12,8,8.0,14.0
Bryan Cristante,186,80,"['Defensor', 'Mediocampista']",81,Right,4,70,68,76,82,72,76,68,66,86,80,54,64,62,80,54,83,80,89,82,78,78,76,76,80,68,82,80,78,74,3,5,3,3.0,5.0
Danilo Luís Hélio Pereira,188,83,"['Mediocampista', 'Defensor']",81,Right,3,56,57,83,80,55,71,54,53,77,75,40,59,52,82,47,75,81,84,89,67,81,81,70,70,57,77,82,81,69,9,7,13,14.0,15.0
Steven Berghuis,182,75,"['Delantero', 'Mediocampista']",81,Left,2,84,82,48,83,77,80,85,76,81,84,82,72,83,79,75,82,62,78,64,81,72,37,82,83,82,79,43,37,30,9,11,7,7.0,15.0
Wilfried Zaha,180,66,"['Delantero', 'Mediocampista']",81,Right,3,75,82,47,76,68,86,73,54,69,86,85,86,86,76,72,83,74,74,74,72,78,35,78,74,76,80,34,39,36,15,10,15,11.0,10.0
Mario Götze,176,72,"['Delantero', 'Mediocampista']",81,Right,4,79,75,47,87,83,82,81,72,81,88,68,58,78,81,83,75,63,91,67,68,59,65,81,86,78,87,64,42,53,14,7,12,6.0,10.0
Karim-David Adeyemi,180,77,"['Delantero', 'Mediocampista']",80,Left,4,72,79,70,74,71,82,67,62,67,80,96,96,87,78,81,76,90,76,67,74,59,31,77,72,70,76,25,34,35,12,12,7,12.0,7.0
Michael Olise,184,73,"['Delantero', 'Mediocampista']",80,Left,2,80,77,36,80,62,84,80,76,77,82,82,79,91,75,86,76,55,68,46,68,68,50,74,83,67,78,52,56,51,9,11,9,10.0,10.0
Samuel Chimerenka Chukwueze,172,70,"['Delantero', 'Mediocampista']",80,Left,2,76,75,44,77,70,87,73,58,66,82,90,84,86,77,83,78,69,70,65,72,47,33,78,76,55,72,40,32,33,13,7,9,7.0,6.0
Thiago Ezequiel Almada,171,62,"['Delantero', 'Mediocampista']",80,Right,4,66,72,39,79,73,82,85,84,73,84,91,81,92,74,93,75,57,75,55,75,64,58,81,76,75,81,44,57,51,12,8,9,8.0,10.0
Mohammed Kudus,177,70,"['Delantero', 'Mediocampista']",80,Left,3,66,76,55,77,71,86,67,49,73,84,92,88,85,73,92,79,75,79,76,74,68,59,78,75,64,77,60,66,46,6,12,7,7.0,10.0
Armand Laurienté,177,79,"['Delantero', 'Mediocampista']",80,Right,3,76,74,45,76,75,85,81,85,65,82,82,85,74,78,88,81,68,77,63,82,47,27,78,77,56,70,28,40,43,13,13,8,14.0,15.0
Eljif Elmas,182,74,"['Delantero', 'Mediocampista']",80,Right,4,68,73,58,82,56,86,64,54,78,85,77,74,84,78,69,79,72,76,64,74,72,69,79,79,58,74,62,72,64,8,5,14,6.0,15.0
Martin Terrier,184,78,"['Delantero', 'Mediocampista']",80,Right,3,73,84,75,78,79,80,77,58,72,82,81,83,72,76,71,79,86,75,75,80,57,27,81,77,73,79,34,31,34,12,5,13,5.0,8.0
Harvey Lewis Barnes,185,72,"['Delantero', 'Mediocampista']",80,Right,4,72,78,46,78,68,81,76,69,69,82,84,85,78,83,77,82,72,74,72,78,53,43,81,80,54,77,44,43,40,6,5,11,8.0,10.0
Fredrik Aursnes,179,71,"['Defensor', 'Mediocampista']",80,Right,3,76,65,65,81,59,77,72,63,79,82,75,76,82,84,77,69,79,91,78,66,80,76,78,78,66,82,78,79,75,12,14,14,8.0,13.0
Laureano Thomas Santeiro Marre,171,63,"['Delantero', 'Mediocampista']",80,Left,5,73,72,44,79,67,82,56,75,80,82,87,75,85,80,89,67,55,67,35,75,41,31,82,80,74,77,29,13,23,9,7,8,14.0,10.0
Juan Heberto Mestres de Mesquita,181,82,"['Mediocampista', 'Defensor']",80,Right,3,40,56,83,67,63,60,72,58,58,64,68,74,61,78,63,74,86,76,79,61,86,82,58,50,62,70,77,85,84,18,12,14,11.0,18.0
Maikel Renan Catarino Fagundes,177,75,"['Mediocampista', 'Defensor']",80,Right,3,81,48,69,73,49,78,55,49,75,77,81,72,83,81,71,52,79,85,68,56,62,77,57,61,41,54,79,78,76,15,13,12,10.0,15.0
Benjamin Henrichs,183,79,"['Mediocampista', 'Defensor']",80,Right,4,80,50,64,81,53,80,74,49,72,79,75,73,75,80,69,62,77,79,74,51,72,78,70,74,59,78,77,79,77,8,9,13,12.0,14.0
Nuno Miguel Gomes dos Santos,177,72,"['Delantero', 'Defensor']",80,Left,3,79,79,59,76,84,81,79,72,73,80,84,82,81,79,72,86,73,84,60,81,74,70,81,76,71,75,73,64,57,14,7,8,9.0,15.0
Giovani Lo Celso,177,68,"['Delantero', 'Mediocampista']",80,Left,3,78,73,62,82,71,84,82,79,82,84,72,69,80,80,80,80,73,72,69,74,82,70,75,84,65,82,64,73,68,10,7,10,15.0,14.0
Aleksandr Golovin,178,69,"['Delantero', 'Mediocampista']",80,Right,4,78,75,46,81,72,83,82,81,76,83,76,77,86,82,77,78,63,81,56,84,76,71,80,81,60,80,45,72,66,12,14,14,10.0,16.0
Mario Pašalić,188,82,"['Delantero', 'Mediocampista']",80,Right,4,68,80,65,81,73,82,69,59,79,86,72,74,74,74,54,78,77,83,75,76,76,72,84,77,61,77,61,72,64,11,13,13,13.0,14.0
Matteo Politano,171,65,"['Delantero', 'Mediocampista']",80,Left,4,80,76,40,80,75,81,79,77,76,82,84,82,89,81,88,78,54,77,41,82,63,38,76,74,70,79,63,29,29,11,12,6,8.0,11.0
Timo Werner,180,76,"['Delantero', 'Mediocampista']",80,Right,4,68,76,75,77,82,82,70,58,55,78,93,89,78,79,76,85,85,82,64,76,63,37,83,68,78,74,39,20,24,9,9,8,15.0,9.0
Hany Mukhtar,173,71,"['Delantero', 'Mediocampista']",80,Right,5,73,78,47,83,55,79,75,77,75,85,82,82,87,79,85,75,67,87,60,74,42,43,80,85,73,79,43,44,44,15,10,9,9.0,12.0
Marten Elco de Roon,185,76,"['Defensor', 'Mediocampista']",80,Right,3,68,63,75,76,63,71,61,54,74,75,64,73,61,78,73,77,81,86,81,77,84,83,70,70,80,83,82,84,79,14,15,7,12.0,12.0
Leonardo Spinazzola,186,75,"['Mediocampista', 'Defensor']",80,Right,4,79,60,69,76,64,80,66,45,69,80,87,89,78,79,69,71,80,69,67,68,71,78,77,76,59,75,75,79,75,11,13,12,15.0,14.0
Jesús Joaquín Fernández Sáez de la Torre,177,70,"['Delantero', 'Mediocampista']",80,Left,3,82,74,50,81,72,84,83,81,75,85,73,71,79,76,82,77,60,62,50,82,38,20,78,79,72,76,48,23,18,15,15,9,8.0,9.0
Roberto Firmino Barbosa de Oliveira,181,76,"['Delantero', 'Mediocampista']",80,Right,4,73,73,78,84,79,85,81,65,76,86,70,67,83,82,84,77,82,81,73,76,75,58,80,81,72,86,52,64,42,8,11,9,6.0,10.0
David López Silva,183,81,"['Mediocampista', 'Defensor']",80,Right,3,55,53,82,81,55,65,50,45,80,76,48,43,40,78,54,75,80,58,80,62,80,82,60,75,50,71,82,82,78,9,12,7,11.0,15.0
Sergi Roberto Carnicer,178,68,"['Mediocampista', 'Defensor']",80,Right,3,81,63,70,81,50,78,78,60,78,80,70,77,69,77,73,65,74,87,69,66,67,76,69,81,57,76,74,76,74,14,16,11,15.0,10.0
Lorenzo Insigne,163,59,"['Delantero', 'Mediocampista']",80,Right,4,76,77,59,79,76,85,89,84,83,85,83,77,86,73,92,79,61,67,34,80,34,26,79,81,77,81,54,24,22,8,4,14,9.0,10.0
Nemanja Gudelj,187,79,"['Mediocampista', 'Defensor']",80,Right,2,74,62,77,83,69,66,82,79,78,79,52,57,61,79,50,89,82,80,88,85,83,80,65,74,74,80,79,80,79,8,11,8,14.0,12.0
Pascal Groß,181,78,"['Defensor', 'Mediocampista']",80,Right,4,84,75,53,83,67,80,85,77,82,82,55,50,67,83,66,78,62,85,68,80,69,62,80,84,72,84,70,65,62,8,15,15,16.0,11.0
Matteo Darmian,183,70,"['Mediocampista', 'Defensor']",80,Right,5,72,55,76,84,59,72,70,35,71,80,70,75,77,83,80,69,78,79,65,56,80,83,78,65,45,79,83,84,82,6,7,7,12.0,7.0
Jesús Navas González,172,60,"['Mediocampista', 'Defensor']",80,Right,2,85,63,72,81,75,80,82,50,76,81,83,81,81,76,82,74,68,78,35,70,75,77,77,80,56,79,76,76,75,10,10,15,7.0,13.0
Sávio Moreira de Oliveira,176,71,"['Delantero', 'Mediocampista']",79,Left,2,80,75,45,77,63,84,76,55,67,80,86,85,86,71,76,67,61,73,45,66,45,25,76,76,62,69,26,30,36,9,12,8,9.0,12.0
Yeremi Jesús Pino Santos,172,60,"['Delantero', 'Mediocampista']",79,Right,4,77,79,46,78,67,81,73,60,74,80,77,76,79,74,79,68,52,70,32,69,48,29,79,76,54,60,31,48,41,9,7,14,6.0,9.0
Antony Matheus dos Santos,172,63,"['Delantero', 'Mediocampista']",79,Left,1,75,70,45,74,62,83,84,70,62,84,89,78,92,79,88,73,69,84,60,74,86,50,76,74,66,78,37,45,28,9,10,14,8.0,13.0
Samuel Dias Lino,170,69,"['Defensor', 'Mediocampista']",79,Right,3,73,72,58,76,62,82,69,54,69,79,85,80,81,76,78,74,72,86,58,63,57,52,75,74,72,75,51,49,46,12,9,14,9.0,6.0
Jérémy Doku,173,77,"['Delantero', 'Mediocampista']",79,Right,3,70,72,37,75,59,87,63,44,64,79,95,87,93,77,88,74,70,63,69,59,62,18,76,74,51,75,22,28,25,11,10,8,9.0,12.0
Christoph Baumgartner,180,73,"['Delantero', 'Mediocampista']",79,Right,3,63,76,71,79,74,82,66,52,77,80,82,70,81,77,79,75,73,71,49,65,63,34,79,81,65,76,31,55,50,10,11,9,14.0,11.0
Nikola Vlašić,179,79,"['Delantero', 'Mediocampista']",79,Right,5,71,74,65,80,71,83,70,72,74,83,79,76,78,77,88,80,77,77,70,80,75,65,76,78,66,77,54,62,37,6,14,15,9.0,14.0
